sample_id,domain,experience_level,resume_text,matched_skills,missing_skills,n_matched,n_total_skills,match_ratio,cosine_sim,skill_density,exp_bonus,keyword_overlap,seniority_signal,domain_term_freq,skill_depth,score
1,Data Science,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Data Science. Skills: Python, R, Matplotlib, Pandas. Background includes graduate roles.",Python | R | Matplotlib | Pandas,SQL | NumPy | Scikit-learn | TensorFlow | Tableau | Power BI | Statistics | Machine Learning | Data Visualization | Excel | Spark,4,15,0.2667,0.1778,1.0,0.3,0.2533,0.0637,0.1636,0.5,25
2,Data Science,Entry-Level,"Entry-level Data Science intern with foundational knowledge and strong academic background. Skills: R, Matplotlib, NumPy, Excel, Data Visualization. Background includes fresher roles.",R | Matplotlib | NumPy | Excel | Data Visualization,Python | SQL | Pandas | Scikit-learn | TensorFlow | Tableau | Power BI | Statistics | Machine Learning | Spark,5,15,0.3333,0.2847,1.0,0.3,0.2398,0.2847,0.296,0.375,29
3,Data Science,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Data Science. Skills: Excel, Matplotlib. Background includes intern roles.",Excel | Matplotlib,Python | R | SQL | Pandas | NumPy | Scikit-learn | TensorFlow | Tableau | Power BI | Statistics | Machine Learning | Data Visualization | Spark,2,15,0.1333,0.1169,0.939,0.3,0.1017,0.1703,0.0748,0.125,15
4,Data Science,Entry-Level,"Junior Data Science developer eager to learn and grow in a fast-paced environment. Skills: SQL, Python. Background includes junior roles.",SQL | Python,R | Pandas | NumPy | Matplotlib | Scikit-learn | TensorFlow | Tableau | Power BI | Statistics | Machine Learning | Data Visualization | Excel | Spark,2,15,0.1333,0.0979,0.9852,0.3,0.1044,0.0889,0.081,0.25,20
5,Data Science,Entry-Level,Junior Data Science developer eager to learn and grow in a fast-paced environment. Skills: Pandas. Background includes entry level roles.,Pandas,Python | R | SQL | NumPy | Matplotlib | Scikit-learn | TensorFlow | Tableau | Power BI | Statistics | Machine Learning | Data Visualization | Excel | Spark,1,15,0.0667,0.0505,0.8333,0.3,0.065,0.255,0.0472,0.125,11
6,Data Science,Entry-Level,"Entry-level Data Science intern with foundational knowledge and strong academic background. Skills: Scikit-learn, R, Pandas, Tableau, Data Visualization. Background includes intern roles.",Scikit-learn | R | Pandas | Tableau | Data Visualization,Python | SQL | NumPy | Matplotlib | TensorFlow | Power BI | Statistics | Machine Learning | Excel | Spark,5,15,0.3333,0.2403,1.0,0.3,0.2827,0.1568,0.2332,0.375,28
7,Data Science,Entry-Level,"Junior Data Science developer eager to learn and grow in a fast-paced environment. Skills: TensorFlow, R. Background includes fresher roles.",TensorFlow | R,Python | SQL | Pandas | NumPy | Matplotlib | Scikit-learn | Tableau | Power BI | Statistics | Machine Learning | Data Visualization | Excel | Spark,2,15,0.1333,0.1106,1.0,0.3,0.1286,0.1873,0.0871,0.25,16
8,Data Science,Entry-Level,"Junior Data Science developer eager to learn and grow in a fast-paced environment. Skills: Excel, NumPy, R, SQL. Background includes intern roles.",Excel | NumPy | R | SQL,Python | Pandas | Matplotlib | Scikit-learn | TensorFlow | Tableau | Power BI | Statistics | Machine Learning | Data Visualization | Spark,4,15,0.2667,0.2388,1.0,0.3,0.1872,0.1532,0.1856,0.375,24
9,Data Science,Entry-Level,"Recent graduate with a degree in Computer Science, passionate about Data Science. Skills: Excel, NumPy, Scikit-learn, R, Data Visualization. Background includes fresher roles.",Excel | NumPy | Scikit-learn | R | Data Visualization,Python | SQL | Pandas | Matplotlib | TensorFlow | Tableau | Power BI | Statistics | Machine Learning | Spark,5,15,0.3333,0.2664,1.0,0.3,0.2481,0.2993,0.2145,0.375,31
10,Data Science,Entry-Level,"Junior Data Science developer eager to learn and grow in a fast-paced environment. Skills: Machine Learning, Excel, Statistics, Tableau, Data Visualization. Background includes graduate roles.",Machine Learning | Excel | Statistics | Tableau | Data Visualization,Python | R | SQL | Pandas | NumPy | Matplotlib | Scikit-learn | TensorFlow | Power BI | Spark,5,15,0.3333,0.2895,1.0,0.3,0.2804,0.295,0.2299,0.0,29
